country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0,0,0,0.0,AS
Albania,89,132,54,4.9,EU
Algeria,25,0,14,0.7,AF
Andorra,245,138,312,12.4,EU
Angola,217,57,45,5.9,AF
Antigua & Barbuda,102,128,45,4.9,NA
Argentina,193,25,221,8.3,SA
Armenia,21,179,11,3.8,EU
Australia,261,72,212,10.4,OC
Austria,279,75,191,9.7,EU
Azerbaijan,21,46,5,1.3,EU
Bahamas,122,176,51,6.3,NA
Bahrain,42,63,7,2.0,AS
Bangladesh,0,0,0,0.0,AS
Barbados,143,173,36,6.3,NA
Belarus,142,373,42,14.4,EU
Belgium,295,84,212,10.5,EU
Belize,263,114,8,6.8,NA
Benin,34,4,13,1.1,AF
Bhutan,23,0,0,0.4,AS
Bolivia,167,41,8,3.8,SA
Bosnia-Herzegovina,76,173,8,4.6,EU
Botswana,173,35,35,5.4,AF
Brazil,245,145,16,7.2,SA
Brunei,31,2,1,0.6,AS
Bulgaria,231,252,94,10.3,EU
Burkina Faso,25,7,7,4.3,AF
Burundi,88,0,0,6.3,AF
Cote d'Ivoire,37,1,7,4.0,AF
Cabo Verde,144,56,16,4.0,AF
Cambodia,57,65,1,2.2,AS
Cameroon,147,1,4,5.8,AF
Canada,240,122,100,8.2,NA
Central African Republic,17,2,1,1.8,AF
Chad,15,1,1,0.4,AF
Chile,130,124,172,7.6,SA
China,79,192,8,5.0,AS
Colombia,159,76,3,4.2,SA
Comoros,1,3,1,0.1,AF
Congo,76,1,9,1.7,AF
Cook Islands,0,254,74,5.9,OC
Costa Rica,149,87,11,4.4,NA
Croatia,230,87,254,10.2,EU
Cuba,93,137,5,4.2,NA
Cyprus,192,154,113,8.2,EU
Czech Republic,361,170,134,11.8,EU
North Korea,0,0,0,0.0,AS
DR Congo,32,3,1,2.3,AF
Denmark,224,81,278,10.4,EU
Djibouti,15,44,3,1.1,AF
Dominica,52,286,26,6.6,NA
Dominican Republic,193,147,9,6.2,NA
Ecuador,162,74,3,4.2,SA
Egypt,6,4,1,0.2,AF
El Salvador,52,69,2,2.2,NA
Equatorial Guinea,92,0,233,5.8,AF
Eritrea,18,0,0,0.5,AF
Estonia,224,194,59,9.5,EU
Ethiopia,20,3,0,0.7,AF
Fiji,77,35,1,2.0,OC
Finland,263,133,97,10.0,EU
France,127,151,370,11.8,EU
Gabon,347,98,59,8.9,AF
Gambia,8,0,1,2.4,AF
Georgia,52,100,149,5.4,EU
Germany,346,117,175,11.3,EU
Ghana,31,3,10,1.8,AF
Greece,133,112,218,8.3,EU
Grenada,199,438,28,11.9,NA
Guatemala,53,69,2,2.2,NA
Guinea,9,0,2,0.2,AF
Guinea-Bissau,28,31,21,2.5,AF
Guyana,93,302,1,7.1,SA
Haiti,1,326,1,5.9,NA
Honduras,69,98,2,3.0,NA
Hungary,234,215,185,11.3,EU
Iceland,233,61,78,6.6,EU
India,9,114,0,2.2,AS
Indonesia,5,1,0,0.1,AS
Iran,0,0,0,0.0,AS
Iraq,9,3,0,0.2,AS
Ireland,313,118,165,11.4,EU
Israel,63,69,9,2.5,AS
Italy,85,42,237,6.5,EU
Jamaica,82,97,9,3.4,NA
Japan,77,202,16,7.0,AS
Jordan,6,21,1,0.5,AS
Kazakhstan,124,246,12,6.8,AS
Kenya,58,22,2,1.8,AF
Kiribati,21,34,1,1.0,OC
Kuwait,0,0,0,0.0,AS
Kyrgyzstan,31,97,6,2.4,AS
Laos,62,0,123,6.2,AS
Latvia,281,216,62,10.5,EU
Lebanon,20,55,31,1.9,AS
Lesotho,82,29,0,2.8,AF
Liberia,19,152,2,3.1,AF
Libya,0,0,0,0.0,AF
Lithuania,343,244,56,12.9,EU
Luxembourg,236,133,271,11.4,EU
Madagascar,26,15,4,0.8,AF
